Issue key,Issue id,Status,Created,Updated,Custom field (Implementation Planned End Date),Custom field (Implementation Planned Start Date),Assignee,Custom field (Closed Date),Creator,Custom field (Defect Type),Custom field (Environment),Custom field (Feature Link),Custom field (How I Fixed (Resolution Provided)),Custom field (How It Happened? (Root Cause)),Summary,Custom field (Test Type)
INSBFOS-1352,358777,Closed,14/Jun/23 5:10 PM,23/Jun/23 10:30 PM,,,462811,23/Jun/23 10:30 PM,462811,Program Error,UAT,INSBFOS-643,Request to execute the package in CBC UAT Environment then CBC Direct Report is working fine.,"Package is not executed in CBC UAT Environment. So, unable to displayed endorsement records in CBC Direct Report.",[QUEST-7246/INSBFOS-1352] #Defect 10: CBC Direct Report does not have endorsement record,UAT
INSBFOS-1351,358733,Closed,14/Jun/23 4:06 PM,21/Jun/23 2:20 PM,,,463020,21/Jun/23 2:20 PM,463020,Parameter/Setup Error,UAT,INSBFOS-643,"Changed as per the latest requirement CBC direct report column name s 'Transaction Type' in grid, print and export to excel.
","As per the latest requirement CBC direct report column name 'Transaction Type' is need to change in grid, print and export to excel.",[QUEST-7246/INSBFOS-1351] #Defect 9: CBC Direct Report Column Name Not Changed,UAT
INSBFOS-1337,358031,Closed,12/Jun/23 7:08 PM,23/Jun/23 10:33 PM,,,462962,23/Jun/23 10:33 PM,462962,Program Error,UAT,INSBFOS-643,Checked in server level and fixed by removing old war and retained new war in CBC UAT Environment now Payment Reminder Email/SMS function is working fine.,"This issue due to both wars (Old and New) were concurrently working, because of this deployment problem in CBC UAT Environment Payment Reminder Email/SMS function is not working Properly. For eg. Old & New war pointing to same DB datasource. In new war, we have given fix but at the same time Old war running its own method which conflicted and destroyed the purpose of new war fix. That particular cbc method/behavior in old war causing this issue.",[QUEST-7246/INSBFOS-1337] #Defect 8: Payment Reminder Email/SMS not received on last day allowed for payment before CBC Block,UAT
INSBBOS-551,357968,Closed,12/Jun/23 4:43 PM,14/Jun/23 4:53 PM,,,463021,14/Jun/23 4:53 PM,463021,Others,UAT,INSBBOS-318,Retry the test case with running the cron job in GIS,Due to QA did not run the cron job in GIS and caused on Diamond did not received active policy during the New Business,[QUEST-6701/QUEST-8449/INSBBOS-551] #Defect 5: GIS could not receive CN issue date from Diamond (HCT),UAT
INSBFOS-1336,357741,Closed,12/Jun/23 10:54 AM,17/Jun/23 2:05 AM,,,462811,16/Jun/23 9:48 AM,462811,Program Error,UAT,INSBFOS-643,"After creating the correct agent code format, having 7 digits and without starting 0 and I was able to do the renewal.","Agent code could not define in GIS because of incorrect agent code format, so it cannot do the renewal.",[QUEST-7246/INSBFOS-1336] #Defect 7: Unable to do Renewal,UAT
INSBBOS-550,357651,Closed,12/Jun/23 8:51 AM,13/Jun/23 4:20 PM,,,463021,13/Jun/23 4:20 PM,463021,Program Error,UAT,INSBBOS-318,Test Cases has been changed to Motor from Motor-Others,This CR testing does not involve Motor-Others to be done in Diamond,[QUEST-6701/QUEST-8449/INSBBOS-550] #Defect 4: Jenkin Job could not be found for Motor Others,UAT
INSBBOS-549,357110,Closed,09/Jun/23 10:19 AM,12/Jun/23 11:18 AM,,,C005013,12/Jun/23 11:18 AM,463021,Program Error,UAT,INSBBOS-318,recompile and clear the existing covernoteno in UAT,Program show stopper when running integration,[QUEST-6701/QUEST-8449/INSBBOS-549] #Defect 3: Endorsement done in Diamond and integrated to GIS but Endorsement No. could not be found,UAT
INSBBOS-548,357010,New,09/Jun/23 8:56 AM,09/Jun/23 8:56 AM,,,409608,,407699,Program Error,Production,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,"[BAU- Diamond Production] fpx payment doesn't return receipt, redirect to empty page ",
INSBFOS-1334,356707,Closed,08/Jun/23 4:56 PM,15/Aug/23 2:30 PM,,,C006616,09/Jun/23 4:55 PM,462811,Clarification,UAT,INSBFOS-643,"Had tried to issue a new CN, was able to make the endorsement and integrate to GIS. ","The rule engine has changed in QUEST 9617, and cannot use the existing CN to do an endorsement.",[QUEST-7246/INSBFOS-1334] #Defect 6: Unable to do Sum Insured Endorsement ,UAT
INSBFOS-1333,355928,Closed,08/Jun/23 10:00 AM,15/Jun/23 2:48 PM,,,C006616,08/Jun/23 11:33 AM,462962,Parameter/Setup Error,UAT,INSBFOS-643,To create the same agent code in GIS which was newly created in Diamond. ,The newly created agent code is required to create in GIS as well.,[QUEST-7246/INSBFOS-1333] #Defect 5: Cover Note Not Integrated to GIS,UAT
INSBFOS-1332,355421,Closed,07/Jun/23 5:44 PM,06/Jul/23 4:42 PM,,,463020,26/Jun/23 7:55 PM,463020,Requirement Error,UAT,INSBFOS-643,KG have updated the FRS,FRS mentioned different behavior from the actual result,"[QUEST-7246/INSBFOS-1332] #Defect 4: ""Convert to Cover Note"" button is enabled in the Premium Tab of Quotation",UAT
INSBFOS-1329,355135,Closed,07/Jun/23 11:38 AM,16/Jun/23 9:27 AM,,,462962,16/Jun/23 9:26 AM,462962,Clarification,UAT,INSBFOS-643,The source type should be changed to agent or add sub user login access in order to get CBC Blocked.,"CBC Manual Block Setup screen to allow all source types to configure setup. But in transaction level CBC validation handled only for agent source type and is not applicable for other source types like Direct-Staff, Broker, etc.",[QUEST-7246/INSBFOS-1329] #Defect 3: Intermediary Able to Issue CN after CBC Manual Block,UAT
INSBFOS-1328,354817,Closed,07/Jun/23 9:08 AM,04/Jul/23 11:32 AM,,,409608,04/Jul/23 11:32 AM,462962,Parameter/Setup Error,UAT,INSBFOS-643,"re-run the job, and it solved the issue","probably a system glitch, no fixing is required.
Just re-run the job",[QUEST-7246/INSBFOS-1328] #Defect 2: Jenkins Job 90B - Diamond Endorsement to GIS failed to build,UAT
INSBFOS-1327,354132,Closed,06/Jun/23 4:08 PM,13/Jun/23 5:51 PM,,,453228,13/Jun/23 5:51 PM,462883,Program Error,UAT,INSBFOS-450,Execute UPDATE script to rename the menu label.,scipt not execute in selected environment.,[Quest-5849/INSBFOS-450/INSBFOS-1327]Defect 02: Menu Name Not Changed ,UAT
INSBFOS-1325,353962,Closed,06/Jun/23 2:22 PM,20/Jun/23 9:42 AM,,,453228,20/Jun/23 9:42 AM,C003999,Program Error,UAT,INSBFOS-450,"Due to environement issue, 
we bypass the triggering destination from UAT (1219445) to SIT (749445)
By cloning a new temporary folder with the configuration of UAT (1219445), and execute motor intergration.",Environment issue,[Quest-5849/INSBFOS-450/INSBFOS-1325]Defect 01: Cover note unable to integrate from Diamond to GIS ,UAT
INSBBOS-546,353667,Closed,06/Jun/23 11:14 AM,12/Jun/23 10:17 AM,,,463021,12/Jun/23 10:17 AM,463021,Program Error,UAT,INSBBOS-318, SA to change the password,It is due to GIS DB password expired. Its not an issue,[QUEST-6701/QUEST-8449/INSBBOS-546] #Defect 2: Cover note generated in Diamond failed to integrate to GIS (CVC),UAT
INSBFOS-1323,352304,Closed,01/Jun/23 2:11 PM,03/Jun/23 2:01 AM,,,462587,02/Jun/23 9:06 AM,462587,Program Error,Pre-Prod,INSBFOS-1188,It is working fine after replacing the latest jar in 74:9443 environment.,The 5553B jar file is recently updated by KG for some master policy issues raised by Alan. This updated jar file is not available in 74:9443 environment. ,[QUEST-11670/INSBFOS-1323] #Defect 4:Unable to integrate policy number via GIS,Operation Readiness Test (ORT)
INSBFOS-1321,350186,Closed,30/May/23 5:21 PM,03/Jun/23 2:01 AM,,,462587,01/Jun/23 11:46 AM,462587,Program Error,Pre-Prod,INSBFOS-1188,Ranjith had reset the sequence number in Diamond. ,it was due to duplicated endt number found and it was caused by the endorsement cover note sequence number out of range in Diamond,[QUEST-11670/INSBFOS-1321] #Defect 3: Incorrect Policy Number display in Endorsement Enquiry GIS,Operation Readiness Test (ORT)
INSBFOS-1313,350103,Closed,30/May/23 12:29 PM,15/Aug/23 4:03 PM,,,C006616,31/May/23 5:50 PM,462962,Program Error,Pre-Prod,INSBFOS-1188,Modified the program to send the actual area code to the rule engine during master policy convert to covernote or update mode through client profile options.,"Area code is not fetched from the master policy quotation when it converts to cover note or update mode through client profile options. So, the new area code is set to master policy cover notes.

It was missed in the program logic for the master policy cover note in convert/update Master Policy QN from client profile option.",[QUEST-11670/INSBFOS-1313] #Defect 2: Incorrect Area Code for Convert to Fleet Policy from Quotation Fleet Policy,Operation Readiness Test (ORT)
INSBBOS-519,349308,New,29/May/23 11:50 AM,06/Jun/23 5:09 PM,,,459546,,198999,Program Error,,,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,[Production Issue] WU 4202 - Motorist Plan A-No Sum Insured appear in vehicle and summary screen,
INSBBOS-509,346162,Closed,23/May/23 10:29 AM,12/Jun/23 11:18 AM,,,C005013,12/Jun/23 11:18 AM,463021,Program Error,UAT,INSBBOS-318,recompile the program to let the table structure sync back to diamond,The integration job couldn’t able to succeed as there is difference in column mapping in GIS side,[QUEST-6701/QUEST-8449/INSBBOS-509] #Defect 1: Cover note generated in Diamond failed to integrate to GIS,UAT
INSBFOS-1264,343486,Rejected,18/May/23 4:03 PM,29/May/23 1:38 PM,,,C006616,,C003602,Others,Pre-Prod,INSBFOS-1188,"This is NOT a defect, it is BAU behaviour for master policy.

When enquiry the cover note using master CN it shall not display the policy no. The policy no should be displayed when enquiry using child policy. ","This is NOT a defect, it is BAU behaviour for master policy.

When enquiry the cover note using master CN it shall not display the policy no. The policy no should be displayed when enquiry using child policy.  developer upon fixes",[QUEST-11670/INSBFOS-1264] #Defect 1: Master Policy unable to integrate to GIS,Operation Readiness Test (ORT)
INSBFOS-1225,341219,Closed,15/May/23 6:24 PM,15/Jun/23 2:38 PM,,,462962,22/May/23 1:14 PM,462962,Parameter/Setup Error,Pre-Prod,INSBFOS-941,"1.	Delete the dirty testing data based on the script provided by KG. 
2.	Reconfigure the Jenkins job setting.
","1.	Dirty testing data cause the integration process not able to get full set of data during the process.
2.	Jenkins configuration issue. 
",[QUEST-9617/INSBFOS-1225] #Defect 5: Unable to Proceed Renewal ,Operation Readiness Test (ORT)
INSBFOS-1212,339674,Closed,11/May/23 6:31 PM,13/May/23 2:01 AM,,,C006616,12/May/23 3:26 PM,462587,Others,Pre-Prod,INSBFOS-941,Invalid defect,Invalid defect,[QUEST-9617/INSBFOS-1212] #Defect 5: Area Code in GIS not tally with Request XML,Operation Readiness Test (ORT)
INSBFOS-1211,339648,Closed,11/May/23 5:15 PM,15/Jun/23 2:35 PM,,,C006616,15/May/23 11:58 AM,462962,Duplicate Error,Pre-Prod,INSBFOS-941,"The below script can be executed to remove the duplicate model group from master table. 

DELETE FROM EIS_MST_OTS_VEH_MODEL_GROUP WHERE VCH_MODEL_GROUP_CODE = '95';
COMMIT;
","Based on the Production data, insert script is provided for the master table 'EIS_MST_OTS_VEH_MODEL_GROUP' for this CR. As per Production data, 94 is the max Model Group id and hence we prepared script starting from id 95 with the model group description 'TOP 10_Perodua Myvi'. But in regression since for id 95 already a record exists with different model group description, duplicate record inserted during integration.",[QUEST-9617/INSBFOS-1211] #Defect 4: Endorsement Description Staging Record Not Found,Operation Readiness Test (ORT)
INSBBOS-496,339026,Closed,11/May/23 8:24 AM,15/Jun/23 2:32 PM,,,462962,15/May/23 11:57 AM,462962,Data mapping error,Pre-Prod,INSBFOS-941,Modified the program to send the actual area code to the rule engine during Endorsement policy search.,"During endorsement policy loading, the area code has been reset and the latest area code from setup was fetched and passed to the rule engine.",[QUEST-9617/INSBBOS-496] #Defect 3: Incorrect area for area code transition case (New Endorsement CN Issuance),Operation Readiness Test (ORT)
INSBFOS-1202,337960,Closed,09/May/23 4:21 PM,13/May/23 2:01 AM,,,C006275,11/May/23 2:24 PM,C003999,Parameter/Setup Error,UAT,INSBFOS-941,"Solution:
Provided delete script to remove the business factors against the pricing serial number and to rerun the job 'PKG_RULE_PARSER.PRPARSEBUSINESSRULES' where all the required premium factors are stamped.

Note:
No fix provided from KG side.
","Based on the response from em console and data shared for the PL/SQL program, we found that Act and Non-act rates are not available for the factors 'Sum Insured' and 'Area Code' against the pricing serial number 'MT20230503V1-100-02-01/230419M1'. Hence incorrect premium returned from rule engine during convert to cover note.

",[QUEST-9617/INSBFOS-1202][REG] Defect 01: TS09 Convert quotation to cover note mismatch for GLM value,Operation Readiness Test (ORT)
INSBFOS-1201,337722,Closed,09/May/23 4:19 PM,13/May/23 2:01 AM,,,C006616,11/May/23 7:32 PM,C003602,Parameter/Setup Error,Pre-Prod,INSBFOS-941,Provided update script to correct the model code for Diamond master as in GIS table,The CIS model code for the vehicle model 'PERODUA/MYVI' under the class 'TAXI' is '285' in Diamond Master whereas it is '283' in GIS master table. Hence incorrect make/model displayed in GIS.,[QUEST-9617][INSBFOS-1201]-Defect 2 : Incorrect Make model name in GIS,Operation Readiness Test (ORT)
INSBBOS-492,337384,Review In progress,09/May/23 10:42 AM,23/Aug/23 4:21 PM,,,199622,,407699,Program Error,Production,,Removed the duplicate join for the non motor tables.,Duplicate join exists in the query which is invoked during Alternate payment save.,[BAU-Production Support] unable to perform alternative payment- AKS9182 ,
INSBBOS-488,337348,Closed,09/May/23 8:59 AM,24/Jul/23 8:16 PM,,,462811,24/Jul/23 8:16 PM,453003,Environment Error,UAT,INSBBOS-513,Added Rule Engine proxy and updated Appserver source in the 139:9446 to fix the issue.,"New App Server Source and DB was deployed in Reg, causing the error on Rule Engine.",[QUEST-11548/INSBBOS-488] #Defect 2: Diamond Premium Zero,UAT
INSBFOS-1194,335787,Closed,05/May/23 4:07 PM,11/May/23 2:32 PM,,,C006616,11/May/23 2:30 PM,453003,Program Error,Pre-Prod,INSBFOS-941,Vincent deployed the latest jar (refer to comment) which solved the issue. ,"it was due to test env readiness between GIS and Diamond are not in sync, latest jar was not deployed on time. ","[Quest 9617|INSBFOS-1194][REG] Wrong vehicle group and no area code send to GIS",
INSBFOS-1187,335520,Closed,05/May/23 9:39 AM,15/Jun/23 2:33 PM,,,C006616,09/Jun/23 3:56 PM,462962,Environment Error,UAT,INSBFOS-643,Merged this CR code on top of Motor Rate + Motor Cycle rate CRs.,Cn issuance depends on the rule engine rate/serial number. impacted by motor rate and cmotor cycle rate CRs.,[QUEST-7246/INSBFOS-1187] #Defect 1: Premium Zero,UAT
INSBFOS-1164,327492,Closed,18/Apr/23 4:45 PM,26/Apr/23 10:44 AM,,,181463,20/Apr/23 3:02 PM,181463,Program Error,UAT,INSBFOS-941,"Please use the before CR deployment date for covernote issue date.
Kindly retry. (No fixes done, only clarification provided)",This scenario happened due to the covernote and cancelled/replaced CN issue date is same.,[Quest 9617] [INSBFOS-1164] - Defect 22:  Defect Cancelled and replaced with wrong premium,
INSBFOS-1163,327176,Closed,18/Apr/23 3:11 PM,20/Apr/23 9:32 AM,,,453003,19/Apr/23 11:10 AM,453003,Program Error,UAT,INSBFOS-941,Informed vincent to generate latest jar file from release branch and retry.,Integration Job which was shared is not a latest version jar. Informed vincent to generate latest jar file from release branch and retry.,[Quest 9617 / INSBFOS-1163]- Defect 21 : Area code is not integrated to GIS,
INSBFOS-1153,326022,Closed,14/Apr/23 5:53 PM,26/Apr/23 10:49 AM,,,C006588,26/Apr/23 10:49 AM,181463,Program Error,UAT,INSBFOS-941,Attached email on clarification (No fixes done by KG),The integration job error is due to missing/invalid jar files in lib folder.,[Quest 9617 / INSBFOS-1153] - Defect 20 : Master Policy vehicles submitted but not integrated to GIS,UAT
INSBFOS-1152,325783,Closed,14/Apr/23 3:34 PM,17/Apr/23 12:08 PM,,,C006616,17/Apr/23 12:08 PM,181463,Program Error,UAT,INSBFOS-941,"No Fixes done from KG, only clarification provided.","We have verified the premium of Diamond with GLM. There is no premium mismatch. Kindly find the attached excel where below corrections are done.

1. Modified the make model to SCANIA as per the rule engine request
2. Tariff loading of 10 % was included
3. Amended the SST formula to exclude the rebate amount",[Quest 9617 / INSBFOS-1152] - Defect 19 : New Business - Tankers - Incorrect premium,UAT
INSBFOS-1151,325707,Closed,14/Apr/23 10:23 AM,15/Apr/23 2:01 AM,,,181463,14/Apr/23 5:57 PM,181463,Clarification,UAT,INSBFOS-941,"No fixes were provided by KG, clarification provided as per updated in rootcause and email attached for reference.",The extra coverage amount of RM 200 is inclusive of 'ALL LICENSED DRIVERS' with premium RM 50. Kindly find the attached (email attached) GLM where RM 50 is included in Additional Drivers section and RM 150 in Add-on Cover section.,[Quest 9617 / INSBFOS-1151] - Defect 18 : New Quotation Master Policy - premium incorrect,UAT
INSBFOS-1150,325428,Closed,14/Apr/23 12:25 AM,15/Apr/23 2:01 AM,,,453003,14/Apr/23 5:27 PM,453003,Program Error,UAT,INSBFOS-941,"No fixes were given from KG end, Provided clarification on calculation for Endorsement Basic Premium (More info in comments section)",Provided clarification on calculation for Endorsement Basic Premium (More info in comments section),[QUEST-9617 / INSBFOS-1150] - Defect 17 : Transition case-Incorrect endorsement premium,
INSBFOS-1148,324956,Closed,13/Apr/23 11:41 AM,15/Apr/23 2:01 AM,,,453003,13/Apr/23 10:22 PM,453003,Program Error,UAT,INSBFOS-941,"Retest done, not a issue and no fixes from KG",Deployment level issue,[QUEST-9617 / INSBFOS-1148] - Defect 16 : Annualised premium field for endorsement transaction,
INSBFOS-1145,324691,Closed,12/Apr/23 5:17 PM,15/Apr/23 2:01 AM,,,453003,13/Apr/23 3:42 PM,453003,Program Error,UAT,INSBFOS-941,Removed the duplicate join while inserting in DI_ENDT_MTTRXENDTCEW table.,"As the query used for DI_ENDT_MTTRXENDTCEW insertion has duplicate join for EIS_TRN_COVER_NOTE_EXT table, exception occurred.",[QUEST-9617 / INSBFOS-1145] - Defect 15  : Unable to integration endorsement transaction to GIS,
INSBFOS-1138,324150,Closed,12/Apr/23 10:19 AM,15/Apr/23 2:01 AM,,,453003,13/Apr/23 5:56 PM,453003,Program Error,UAT,INSBFOS-941,Modified the program to send the actual area code which is saved even when the area code is updated in the setup.,"While editing the draft cover note issued by Cancel with replacement, incorrect area code was passed in rule engine request.",[QUEST-9617 / INSBFOS-1138] - Defect 14 : Wrong area code when editing a draft cover note issued by Cancel and Replacement,UAT
INSBFOS-1137,323829,Closed,11/Apr/23 7:34 PM,15/Apr/23 2:01 AM,,,C006588,12/Apr/23 2:13 PM,C006588,Parameter/Setup Error,UAT,INSBFOS-941,Modified the program to send the appropriate model group code against the pricing serial no.,Incorrect model group code referred during the extraction of rating values against pricing serial number.,[QUEST-9617 / INSBFOS-1137] - Defect 13 : Incorrect After Deployment GLM premium calculation for Taxi Comprehensive and TPFT.,UAT
INSBFOS-1136,323654,Closed,11/Apr/23 3:38 PM,18/Apr/23 4:47 PM,,,C006588,18/Apr/23 4:47 PM,401206,Program Error,UAT,INSBFOS-941,Modified the program to send the appropriate model group code against the pricing serial no.,Incorrect model group code referred during the extraction of rating values against pricing serial number.,[QUEST-9617 / INSBFOS-1136]- Defect 12 : Motor Rate - Incorrect GLM premium calculation for Taxi Comprehensive and TPFT,UAT
INSBFOS-1133,323132,Closed,10/Apr/23 5:55 PM,15/Apr/23 2:01 AM,,,181463,14/Apr/23 5:59 PM,181463,Program Error,UAT,INSBFOS-941,DB scripts have been added.,"DB scripts not provided for the newly added factor (area code), so the rating value against area code was not considered in factors multiplication.",[QUEST-9617] [INSBFOS-1133] - Defect 11 : Quotation convert to covernote_PCP wrong premium,UAT
INSBFOS-1132,322934,Closed,10/Apr/23 4:36 PM,15/Apr/23 2:01 AM,,,453003,12/Apr/23 10:25 AM,453003,Program Error,UAT,INSBFOS-941,"Few corrections done in your GLM working sheet and I have corrected and attached the updated one in the mail.

Tariff loading should be 0% but was applied 10%
BNM min & max capping formula should exclude Rebate amount","There is no issue in the rule engine’s GV tanker premium calculation, however found below the few corrections in your GLM working sheet and I have corrected and attached the updated one in the mail.

Tariff loading should be 0% but was applied 10%
BNM min & max capping formula should exclude Rebate amount",[QUEST-9617] [INSBFOS-1132] - Defect 10 : Incorrect premium for GV&Tankers,
INSBFOS-1130,322539,Closed,10/Apr/23 11:54 AM,15/Apr/23 2:01 AM,,,C006616,14/Apr/23 9:12 AM,452730,Program Error,,INSBFOS-750,Kindly update the values (provided screenshot in comment section) in database as per business needs and retry.,"After deployment, someone changed these values for commercial vehicle from '10' to '1' in regression environment DB for testing purpose. So that test case failed.",[QUEST-8319] GIP for 7 days for commercial car is not correct.,
INSBFOS-1129,322714,Closed,10/Apr/23 11:46 AM,15/Apr/23 2:01 AM,,,C006588,10/Apr/23 12:15 PM,C006588,Data mapping error,UAT,INSBFOS-941,Updated the file to fill Vehicle Make to Vehicle Make & Model,Vehicle Search Function text field filled with Vehicle Make to Vehicle Make,[QUEST-9617 / INSBFOS-1129 ] -Automation Defect 2 :  Vehicle Search Function text field replace Vehicle Make to Vehicle Make & Model in GLM ,UAT
INSBFOS-1128,322703,Closed,10/Apr/23 11:30 AM,15/Apr/23 2:01 AM,,,C006588,10/Apr/23 12:16 PM,C006588,UI / Cosmetic,UAT,INSBFOS-941,Replace the old element to new element,Expect to click motor element but not available sometimes. ,[QUEST-9617 / INSBFOS-1128]- Automation Defect 1: Unable to click Motor icon in transaction page,UAT
INSBFOS-1127,322315,Closed,10/Apr/23 10:12 AM,17/Apr/23 9:41 AM,,,181463,17/Apr/23 9:41 AM,181463,Program Error,UAT,INSBFOS-941,DB scripts have been added,"DB scripts not provided for the newly added factor (area code), so the rating value against area code was not considered in factors multiplication.",[QUEST-9617] [INSBFOS-1127] - Defect 9 : Defect Wrong Quotation Premium_private car,UAT
INSBFOS-1126,322082,Closed,10/Apr/23 9:35 AM,15/Apr/23 2:01 AM,,,453003,11/Apr/23 7:20 PM,453003,Program Error,UAT,INSBFOS-941,"Excel format has been changed now able to download UW report in Diamond.
Below Item Fixes are committed in mentioned branch. Kindly deploy latest source from below branch and check.
   
    Branch name:- feature/Profile3_121_9445_QUEST_9617_Motor_Rate_Update_28Mar2023

    File List:
      motor/ApplicationSource/src/main/java/com/kgisl/nsure/filter/utilities/ReportExportExcel.java
             motor/ApplicationSource/src/main/java/com/kgisl/nsure/reports/controller/ReportController.java",In existing code excel format is not supporting to download UW report in Diamond.,[QUEST-9617 / INSBFOS-1126] - Defect 8 : Unable to download UW report in Diamond,
INSBFOS-1125,321901,Closed,07/Apr/23 5:03 PM,12/Apr/23 5:05 PM,,,453003,12/Apr/23 5:05 PM,453003,Program Error,UAT,INSBFOS-941,Modified the program to send the appropriate model group code against the pricing serial no.,Incorrect model group code referred during the extraction of rating values against pricing serial number.,"[QUEST-9617|INSBFOS-1125]- defect 7 : Premium Incorrect for Endorsement transaction",
INSBFOS-1124,321773,Closed,07/Apr/23 4:11 PM,14/Apr/23 9:11 AM,,,C006616,14/Apr/23 9:11 AM,457361,Program Error,UAT,INSBFOS-941,Modified the program to send the appropriate model group code against the pricing serial no.,Incorrect model group code referred during the extraction of rating values against pricing serial number.,"[QUEST-9617|INSBFOS-1124] -defect 6:Transition Case Act premium not match PC-COMP",UAT
INSBFOS-1109,321728,Closed,07/Apr/23 1:59 PM,12/Apr/23 9:56 AM,,,453003,12/Apr/23 9:56 AM,453003,Program Error,UAT,INSBFOS-941,DB scripts have been added for area code,"DB scripts not provided for the newly added factor (area code), so the rating value against area code was not considered in factors multiplication.","[QUEST-9617|INSBFOS-1109]- Defect 5 : Premium incorrect for replacement CN",
INSBFOS-1108,321478,Closed,07/Apr/23 11:44 AM,10/Apr/23 9:12 AM,,,453003,10/Apr/23 9:12 AM,453003,Program Error,UAT,INSBFOS-941,Provided new SQL to extract UW report,the previous SQL was outdated. Need to rescript SQL for extraction.,"[QUEST-9617|INSBFOS-1108]-Defect 4 : Area code is not display in UW Report",UAT
INSBFOS-1107,321473,Closed,07/Apr/23 11:35 AM,11/Apr/23 11:31 AM,,,453003,11/Apr/23 11:12 AM,453003,Program Error,,INSBFOS-941,"It's required to change program logic to send model group code instead of model group id in integration job to avoid these discrepancies.
Committed the fixes in the branch 'feature/Profile3_121_9445_QUEST_9617_Motor_Rate_Update_28Mar2023'. Kindly execute the attached DB script/packages(DB_Scripts.zip) and deploy latest 5551B jar.

File list:
Database/TABLES/MASTER TABLES/EIS_MST_OTS_VEH_MODEL_GROUP.sql
Database/PACKAGE/PKG_DI_COVERNOTE.sql
Database/PACKAGE/PKG_DI_COVERNOTE_UNIQ.sql
Database/PACKAGE/PKG_DI_ENDORSEMENT.sql
Database/PACKAGE/PKG_DI_POLMOTOR_ACTIVE.sql
Database/PACKAGE/PKG_DI_POLMOTOR_RENEW.sql
Integration/motor_cover_note/src/main/java/com/kgisl/nsure/integration/cn/dao/TransactionDAOImpl.java
Integration/motor_cover_note/src/main/java/com/kgisl/nsure/integration/cn/db/TransactionSQL.java","Based on the investigation of existing integration Job, prior to this CR, we have sending model group table primary key id value to GIS. Also, we don't change this behavior for this CR.

   But we found that, Existing master table data having same values in both model group id & model group code columns,
So, No issues in production so far.","[QUEST-9617|INSBFOS-1107]-Defect 3 : Incorrect Vehicle Grouping",UAT
INSBFOS-1105,320872,Rejected,06/Apr/23 5:15 PM,10/Apr/23 9:47 AM,,,C006616,,462587,Program Error,Pre-Prod,INSBFOS-423,To be filled-up by developer upon fixes,To be filled-up by developer upon fixes,QUEST-7380/INSBFOS-1105] #Defect 2: MSV Shared API WS04 & WS10 does not meet expected result,Operation Readiness Test (ORT)
INSBFOS-1100,320808,Closed,06/Apr/23 12:12 PM,11/Apr/23 1:09 PM,,,462587,11/Apr/23 1:09 PM,462587,Program Error,Pre-Prod,INSBFOS-423,We haven't provided any fixes for this issue. We have verified integration data step by step during job running. Fortunately all data saved in order and also renewal policy created successfully.,Previous policies failed due to some environment problem it seems. because same integration job running in regression & production environments.,[QUEST-7380/INSBFOS-1100] #Defect 1: Unable to proceed to issue renewal quotation ,Operation Readiness Test (ORT)
INSBFOS-1096,319685,Closed,04/Apr/23 7:36 PM,07/Apr/23 4:01 PM,,,C006588,05/Apr/23 1:04 PM,C006588,Parameter/Setup Error,UAT,INSBFOS-941,We have attached patch script to clear diamond staging table data. Please execute and re-integrate cover notes and revert. This issue is similar to [QUEST-9617 / INSBFOS-1093]-Defect 1: Integration job 5551B failed due to error,"Based on the analysis, integration failed due to staging table data is not valid which is created before replacing latest common.jar file (PA Cover code is stamped as NULL in DI_MPA_COVER_NOTE).",[QUEST-9617 / INSBFOS-1096 ]-Defect 2: Job10B failed to integrate active policy back to Diamond due to field size error ,UAT
INSBFOS-1093,318713,Closed,03/Apr/23 4:44 PM,07/Apr/23 4:01 PM,,,C006588,05/Apr/23 8:48 AM,C006588,Parameter/Setup Error,UAT,INSBFOS-941,We have attached patch script to clear diamond staging table data. Please execute and re-integrate cover notes and revert.,"Based on the analysis, integration failed due to staging table data is not valid which is created before replacing latest common.jar file (PA Cover code is stamped as NULL in DI_MPA_COVER_NOTE).",[QUEST-9617 / INSBFOS-1093]-Defect 1: Integration job 5551B failed due to error,UAT
INSBBOS-458,315607,Closed,30/Mar/23 9:15 AM,21/Jul/23 9:26 AM,,,407699,21/Jul/23 9:26 AM,407699,Program Error,Production,,Handled to display the Policy Cancellation Endorsements in Document tab.,"After issuing cancellation endorsement for IG and FW policy, the cover note status is updated to Cancelled. As the cover notes with Approved and Submitted status are only displayed in Document tab, the Policy Cancellation Endorsements are not displayed.",[BAU-Production Support] no cancellation print/ after issue cancellation endorsement for IG and FW policy,
INSBFOS-1082,313526,Closed,27/Mar/23 3:25 PM,13/Apr/23 2:07 PM,,,453228,13/Apr/23 2:07 PM,C003602,Program Error,UAT,INSBFOS-478,Updated the correct EDMS request URL,EDMS configuration stored incorrect URL.,[Quest-5086][INSBFOS-1082] Defect 4 : Personal accident module unable to connect to EDMS ,UAT
